timestamp,asignatura,estado_asistencia,alumno
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno1
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno3
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno4
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno5
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno6
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno7
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno8
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno10
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno11
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno12
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno13
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno14
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno15
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno16
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno19
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno20
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno22
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno23
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno24
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno25
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno26
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno27
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno28
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno30
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno32
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno34
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno36
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno37
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno38
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno39
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno41
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno42
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno44
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno47
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno48
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno49
2024-01-08 09:00:00,Empresa y Legislacion,ausente,Alumno50
2024-01-08 09:00:00,Empresa y Legislacion,presente,Alumno9
2024-01-08 09:00:00,Empresa y Legislacion,presente,Alumno17
2024-01-08 09:00:00,Empresa y Legislacion,presente,Alumno18
2024-01-08 09:00:00,Empresa y Legislacion,presente,Alumno31
2024-01-08 09:00:00,Empresa y Legislacion,presente,Alumno33
2024-01-08 09:00:00,Empresa y Legislacion,presente,Alumno35
2024-01-08 09:00:00,Empresa y Legislacion,presente,Alumno40
2024-01-08 09:00:00,Empresa y Legislacion,tarde,Alumno2
2024-01-08 09:00:00,Empresa y Legislacion,tarde,Alumno21
2024-01-08 09:00:00,Empresa y Legislacion,tarde,Alumno43
2024-01-08 09:00:00,Empresa y Legislacion,tarde,Alumno46
2024-01-08 11:00:00,Big Data,ausente,Alumno1
2024-01-08 11:00:00,Big Data,ausente,Alumno3
2024-01-08 11:00:00,Big Data,ausente,Alumno4
2024-01-08 11:00:00,Big Data,ausente,Alumno5
2024-01-08 11:00:00,Big Data,ausente,Alumno6
2024-01-08 11:00:00,Big Data,ausente,Alumno7
2024-01-08 11:00:00,Big Data,ausente,Alumno8
2024-01-08 11:00:00,Big Data,ausente,Alumno9
2024-01-08 11:00:00,Big Data,ausente,Alumno10
2024-01-08 11:00:00,Big Data,ausente,Alumno11
2024-01-08 11:00:00,Big Data,ausente,Alumno13
2024-01-08 11:00:00,Big Data,ausente,Alumno16
2024-01-08 11:00:00,Big Data,ausente,Alumno17
2024-01-08 11:00:00,Big Data,ausente,Alumno20
