timestamp,asignatura,estado_asistencia,alumno
,Administracion de Sistemas,presente,Alumno45
,Big Data,tarde,Alumno23
,Empresa y Legislacion,ausente,Alumno7
,Empresa y Legislacion,ausente,Alumno13
,Empresa y Legislacion,ausente,Alumno16
,Empresa y Legislacion,ausente,Alumno6
,Ingenieria del Software,ausente,Alumno31
,Ingenieria del Software,ausente,Alumno1
,Ingenieria del Software,ausente,Alumno13
2024-01-08 09:00:00,Empresa y Legislacion,,Alumno29
2024-01-08 09:00:00,Empresa y Legislacion,ausente,
2024-01-08 13:00:00,,ausente,Alumno7
2024-01-08 13:00:00,Big Data,ausente,
2024-01-08 15:00:00,Big Data,ausente,
2024-01-08 17:00:00,,tarde,Alumno1
2024-01-08 19:00:00,Empresa y Legislacion,,Alumno45
2024-01-08 21:00:00,Big Data,,Alumno26
2024-01-08 23:00:00,,ausente,Alumno49
2024-01-08 23:00:00,Empresa y Legislacion,,Alumno6
2024-01-09 01:00:00,Administracion de Sistemas,ausente,
2024-01-09 03:00:00,Empresa y Legislacion,ausente,
2024-01-09 07:00:00,,ausente,Alumno1
2024-01-09 09:00:00,Ingenieria del Software,,Alumno3
2024-01-09 09:00:00,Ingenieria del Software,,Alumno35
2024-01-09 11:00:00,Empresa y Legislacion,,Alumno17
2024-01-09 15:00:00,,tarde,Alumno32
2024-01-09 15:00:00,Big Data,ausente,
2024-01-09 17:00:00,Ingenieria del Software,,Alumno15
2024-01-09 21:00:00,Ingenieria del Software,,Alumno4
2024-01-09 21:00:00,Ingenieria del Software,ausente,
2024-01-09 21:00:00,Ingenieria del Software,tarde,
2024-01-09 23:00:00,,ausente,Alumno40
2024-01-10 01:00:00,,presente,Alumno30
2024-01-10 03:00:00,Big Data,,Alumno26
2024-01-10 03:00:00,Big Data,ausente,
2024-01-10 05:00:00,Big Data,,Alumno40
